chassistype,ram,os,#ofcores,age_category,graphicscardclass,processornumber,cpucode,persona,guid
Notebook,8,Win10,2,1,Low-Midrange Graphics Cards,14,i3-8130U,Gamer,f9b685e606a84005a7602d56eb2eeedf
Desktop,8,Win10,4,1,Low-Midrange Graphics Cards,14,i3-8100,Win Store App User,de92c9021c234396ae66f4c5fd980fd3
Desktop,16,Win10,4,5,Low-End Graphics Cards,22,i7-4790,Entertainment,f74d92b985ee43918de4a2f03a3fe00b
Notebook,8,Win10,2,5,,22,i5-4210U,Web User,e1c25cef52ff4c1e959bf525b53cb1b3
Notebook,8,Win10,2,6,Low-End Graphics Cards,22,i3-3217U,Communication,cd4f283e33614cabba978f00eca63d9c
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i7-5500U,Web User,e755cf21fae44507a30c3011f8cd08a8
2 in 1,16,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7500U,Web User,e31ee5a96d6442c38861bf4365a1a439
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8265U,Office/Productivity,0857b129483f4139b5e08b94a9b0ece9
Desktop,16,Win10,6,1,Low-Midrange Graphics Cards,14,i7-8700,Communication,075f819d175642958a0e075cc071ad72
2 in 1,16,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8550U,Web User,07de3431d4f142728ca2a0073a2c72cd
Notebook,32,Win10,4,0,Low-Midrange Graphics Cards,14,i5-8265U,Casual User,05b021a7446f44e0853595afe5e80a6b
Desktop,16,Win10,2,6,Low-End Graphics Cards,22,i5-4250U,Communication,fb0086e9b5b54170af369a803e303b72
Notebook,16,Win10,4,2,Mid-Range Graphics Cards,14,i7-7700HQ,Content Creator/IT,0651ac1254e74bc596ddf9d73675e7ab
Intel NUC/STK,8,Win10,2,1,,14,i3-8109U,Web User,07e35755679f4ce080e8f4783d2ea6b0
Notebook,16,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Office/Productivity,073e884cf1e64e27a48dada34b9f1962
2 in 1,12,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7500U,Casual Gamer,05defe6b24fc4127b5a56b161b50af57
2 in 1,16,Win10,4,1,High-End Graphics Cards,14,i7-8650U,Web User,fd4792d7395f47a7be2998808b8c399c
Desktop,6,Win10,2,6,Low-Midrange Graphics Cards,22,G2020,Office/Productivity,0a158b9fccc6441b9d0dd3df483dacb7
Desktop,8,Win10,4,6,,32,i5-2400,Office/Productivity,2c9332fd30dc4335ba5814fb4be62e10
Notebook,8,Win10,4,5,Low-End Graphics Cards,22,i7-4712MQ,Casual Gamer,1af5a6f6b3824024b13ac3341c4f78ed
Desktop,32,Win10,4,6,High-End Graphics Cards,22,i7-4770K,Win Store App User,219a1e116409420d9d25c7dd2b6f6a4e
Notebook,4,Win10,2,6,Low-End Graphics Cards,32,i5-2520M,Web User,6220c1b2402d4069b9765e0cbe273ae9
Notebook,12,Win8.1,4,5,Low-Midrange Graphics Cards,22,i7-4710MQ,Casual Gamer,4cf81f100b414f4cb1e47accabdc0432
Desktop,16,Win10,2,4,Low-Midrange Graphics Cards,14,i7-5557U,Office/Productivity,43abd3566d8e444f9d4c4e778ebc198f
Desktop,8,Win10,2,4,Low-Midrange Graphics Cards,14,i5-6260U,Communication,1d08844cc98f48a6a6c5c13e337b9949
Desktop,8,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100U,Communication,91555fe04dce41188e459e6ed68ecf6c
Notebook,16,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Web User,a5ba86fec84e445cae3f31faad0885b0
Desktop,16,Win10,4,6,High-End Graphics Cards,22,i7-4770,Web User,a1414337f2fb4eaa8d31c46f2f73f2ee
Desktop,32,Win10,4,2,High-End Graphics Cards,14,i7-7700K,Communication,3f70165c8059478196e4cccf57640548
Notebook,8,Win10,2,2,Mid-Range Graphics Cards,14,i5-7200U,Unknown,fb28da642edc4e328b8ecad02b8fa1db
Desktop,24,Win10,4,6,,22,i7-3770,Web User,8ad824ca041344e392219527fe8509d6
2 in 1,12,Win10,2,3,,14,i5-6200U,Web User,adc86733c61c482a9784443ee48cccd6
Notebook,8,Win10,2,1,Low-Midrange Graphics Cards,14,i3-7020U,Casual Gamer,d028ddf9cc7c4613b5936824e7398e7f
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Communication,b6bce79b97824650afb63239e5576a9e
Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700K,Content Creator/IT,d6acf6abbea34b0d9dc2e194843afd56
Desktop,16,Win10,4,6,Low-End Graphics Cards,32,i5-2500K,Casual User,eae2a8163f384b8c950812a2326f681b
Desktop,16,Win10,4,3,Mid-Range Graphics Cards,14,i7-6770HQ,Casual User,dc7b52ebb3694f84a426172924219f5f
Notebook,16,Win10,6,1,,14,i7-9750H,Win Store App User,f6362792d8204c5ea5df9a529736fd0e
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i5-5300U,Office/Productivity,f2350cffaa574d2abf0bcacb55eb7063
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6300U,Communication,07a7854b152046bf90169203206bf5cd
Notebook,16,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8265U,Entertainment,059e9802be0645f29327ac486e23daed
Notebook,12,Win10,2,4,Mid-Range Graphics Cards,14,i7-6500U,Web User,03198bcc2b57441f842fe558d4da014e
Desktop,20,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100T,Content Creator/IT,055f8bd49ce842f1878b7af185dc7618
2 in 1,32,Win10,8,0,,14,i9-9980HK,Office/Productivity,0cf7d90a195f4c56ba33887815119e92
Desktop,4,Win10,2,6,Low-Midrange Graphics Cards,22,2117U,Office/Productivity,06d9249672a14f6887f851b1d5a6a063
Desktop,8,Win10,4,2,Office-Class Graphics Cards,14,i5-7400,Office/Productivity,05df0182e29e485cabffd7537a922b15
Desktop,16,Win10,6,1,Low-Midrange Graphics Cards,14,i7-8700,Content Creator/IT,065cb58658594219a36736192f0354a9
Intel NUC/STK,32,Win10,4,1,,14,i7-8559U,Communication,0620836238d64f6390a5a130951e3935
Desktop,32,Win10,6,1,Mid-Range Graphics Cards,14,i7-8700K,Casual User,04e662d61b5b42e99396048c89be1e26
Notebook,8,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6440HQ,Communication,068519d99c5245cfba06b4c39b7c3fcd
Notebook,4,Win10,4,4,Low-Midrange Graphics Cards,22,N3540,Office/Productivity,03ddcff9f1434f698e79cfa0799bfb3b
Desktop,32,Win10,4,3,High-End Graphics Cards,14,i7-6700K,Casual Gamer,884779dd9fb64121b1f0767a6fc39a34
Desktop,8,Win10,4,3,High-End Graphics Cards,14,i5-6500,Office/Productivity,a5c1399df0f340f68eb929687f6aa325
2 in 1,16,Win10,4,2,Office-Class Graphics Cards,14,i7-7700HQ,Web User,3688a9a19d8445d7866048178cdd5174
Notebook,8,Win10,2,-1,,-1,Unknown,Casual Gamer,5f4ba046f2934dc99f0c40c71b42e698
2 in 1,16,Win10,2,2,High-End Graphics Cards,14,i7-7500U,Casual User,781d0cbfb9fd46809d0a33dadb2c7f08
Desktop,16,Win10,4,3,,14,i7-6700K,Web User,6284f3a826754346bf581fe5206c3b27
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Web User,e178abb29f5a40f0a0cc46e707dfbf64
Intel NUC/STK,16,Win10,4,1,,14,i7-8809G,Web User,91b62e0789c243109ccad5a961bfb59a
Notebook,8,Win10,4,6,Mid-Range Graphics Cards,22,i7-4700MQ,Web User,2e05790d9dd54e21a9c38323774d7e6b
Intel NUC/STK,20,Win10,4,1,,14,i5-8259U,Office/Productivity,ef17ae71dbbb4e0fb33a516740440893
Notebook,12,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Communication,e1418963b0454e7d9bdab797eb2822bc
Desktop,16,Win10,4,6,High-End Graphics Cards,32,i5-2500,Casual Gamer,9e1ee4fc1ccd400091b63511fe9f309a
Notebook,8,Win10,2,3,,14,i3-6100U,Office/Productivity,deb0e812ea5d4f568f19bdad21fdfbe8
Desktop,4,Win10,2,6,Office-Class Graphics Cards,65,E4600,Office/Productivity,c73d137b2fe346b18e5d748d7bce0ebe
Notebook,16,Win10,4,5,Low-End Graphics Cards,22,i7-4710HQ,Communication,d62f8242ccdb4b44a9ce1869ec58c9e1
Desktop,8,Win10,6,0,Low-Midrange Graphics Cards,14,i5-9500,Office/Productivity,07afb009f801436da7d1fda7c5297c8b
Desktop,64,Win10,2,-1,,-1,Unknown,Entertainment,02e16d42b2a84d96931303e0e76f698f
Notebook,32,Win10,4,2,Office-Class Graphics Cards,14,i7-7820HQ,Communication,061a9d3d8cef45eab0d5afa461890439
Notebook,16,Win10,4,4,Low-End Graphics Cards,22,i7-4720HQ,Web User,05e4d06a2b7a4b6cbf36acccb3322e8c
Notebook,8,Win10,2,1,Low-Midrange Graphics Cards,14,i5-7300U,Content Creator/IT,05d160b0cdd844c6834d6c4188210c9c
Notebook,16,Win10,4,2,Office-Class Graphics Cards,14,i7-7700HQ,Casual Gamer,09b1b5de90164c218a42bc2035d99c2c
Notebook,16,Win10,4,0,Low-Midrange Graphics Cards,14,i5-8365U,Communication,0659bf71f97e48eeba0d15353353ede8
Notebook,32,Win10,4,5,Mid-Range Graphics Cards,22,i7-4810MQ,Casual User,0516b0d3405d4341b1e62b574cea43f6
Desktop,10,Win10,4,6,Low-End Graphics Cards,22,i5-4570,Communication,0a4e8d461cfa44069757c8aed389ec44
2 in 1,8,Win10,2,5,Office-Class Graphics Cards,22,i7-4510U,Casual User,7a78efa558d946f5b0d07d02d452922e
Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700,Content Creator/IT,0573c490289c43a585946a6b3820f916
Desktop,4,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100U,Casual User,cc46d74ef31741c1a184d2c5485556b7
Notebook,4,Win10,2,2,Low-Midrange Graphics Cards,14,i3-6006U,Win Store App User,209dd94e02fe4f9192aee3b209c8a3e5
Desktop,8,Win10,4,6,Low-Midrange Graphics Cards,32,i5-2310,Web User,0b3553c4061541f9bdfdd7259596aa5d
Notebook,32,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Casual User,6546e308cf6942c09b864205ebc42641
Notebook,8,Win10,4,2,High-End Graphics Cards,14,i5-7300HQ,Gamer,7dc17e0551bf49c884dd0717ca080ed3
Desktop,16,Win10,4,6,,22,i7-4770K,Content Creator/IT,27f0b89c55fe4977a5fb1b3b5fcb4327
Desktop,32,Win10,6,1,High-End Graphics Cards,14,i7-8700K,Gamer,3e6c121545d34730a1027970ea3d0f98
Desktop,8,Win10,4,6,Low-End Graphics Cards,32,i7-2600,Communication,82217d3ea52f4b01b05fbd191bec7bb4
Desktop,4,Win10,2,5,Low-Midrange Graphics Cards,22,G3420,Communication,5e30fef1bb244aaf88e22e7acd649276
